/BL (modelFiles=gpdk045.scs:tt) X,/BL (modelFiles=gpdk045.scs:tt) Y,/BLB (modelFiles=gpdk045.scs:tt) X,/BLB (modelFiles=gpdk045.scs:tt) Y,/Q (modelFiles=gpdk045.scs:tt) X,/Q (modelFiles=gpdk045.scs:tt) Y,/QB (modelFiles=gpdk045.scs:tt) X,/QB (modelFiles=gpdk045.scs:tt) Y,/VDD (modelFiles=gpdk045.scs:tt) X,/VDD (modelFiles=gpdk045.scs:tt) Y,/WL (modelFiles=gpdk045.scs:tt) X,/WL (modelFiles=gpdk045.scs:tt) Y,/V0/PLUS (modelFiles=gpdk045.scs:tt) X,/V0/PLUS (modelFiles=gpdk045.scs:tt) Y
1.990583916666e-09,0.05839166666665389,1.990583916666e-09,0.9416083333333461,1.990583916666e-09,6.430685220775721e-08,1.990583916666e-09,0.9999992433455122,1.990583916666e-09,1,1.990583916666e-09,0,1.990583916666e-09,-8.456241319326826e-10
1.991150845519e-09,0.115084551930488,1.991150845519e-09,0.8849154480695119,1.991150845519e-09,1.648062232223016e-08,1.991150845519e-09,0.9999993031913635,1.991150845519e-09,1,1.991150845519e-09,0,1.991150845519e-09,6.457851625597332e-10
1.992284703224e-09,0.2284703224581563,1.992284703224e-09,0.7715296775418437,1.992284703224e-09,-2.461437516260036e-08,1.992284703224e-09,0.9999994212286184,1.992284703224e-09,1,1.992284703224e-09,0,1.992284703224e-09,-7.853082190018597e-10
1.994552418635e-09,0.4552418635134929,1.994552418635e-09,0.5447581364865071,1.994552418635e-09,5.723364629957105e-09,1.994552418635e-09,0.9999995725318263,1.994552418635e-09,1,1.994552418635e-09,0,1.994552418635e-09,6.84631514646026e-10
1.997276209317e-09,0.7276209317567465,1.997276209317e-09,0.2723790682432535,1.997276209317e-09,2.880735532924273e-08,1.997276209317e-09,0.9999997103926153,1.997276209317e-09,1,1.997276209317e-09,0,1.997276209317e-09,-7.663300099176021e-10
2e-09,1,2e-09,0,2e-09,5.669470072749887e-08,2e-09,0.9999997691350569,2e-09,1,2e-09,0,2e-09,6.923385198259659e-10
2.000083416666e-09,1,2.000083416666e-09,0,2.000083416666e-09,-5.118968308855371e-07,2.000083416666e-09,1.000000381405948,2.000083416666e-09,1,2.000083416666e-09,0,2.000083416666e-09,6.284790926540203e-10
2.00025025e-09,1,2.00025025e-09,0,2.00025025e-09,-4.734792872164078e-07,2.00025025e-09,1.000000387186953,2.00025025e-09,1,2.00025025e-09,0,2.00025025e-09,-4.34231471145805e-10
2.000583916666e-09,1,2.000583916666e-09,0,2.000583916666e-09,-3.883804911642666e-07,2.000583916666e-09,1.000000359158938,2.000583916666e-09,1,2.000583916666e-09,0,2.000583916666e-09,5.34490490633098e-10
2.001151006879e-09,1,2.001151006879e-09,0,2.001151006879e-09,-2.898462507370831e-07,2.001151006879e-09,1.000000339580352,2.001151006879e-09,1,2.001151006879e-09,0,2.001151006879e-09,-4.11216825315937e-10
2.002285187303e-09,1,2.002285187303e-09,0,2.002285187303e-09,-1.478617148045252e-07,2.002285187303e-09,1.000000249540648,2.002285187303e-09,1,2.002285187303e-09,0,2.002285187303e-09,4.768836682507191e-10
